filename,width,height,class,xmin,ymin,xmax,ymax
aug_1112-5919_frame_003129_1_262004.jpg,1280,720,van,482,218,505,240
aug_1112-5918_frame_001916_1_108160.jpg,1280,720,person,247,262,262,283
aug_1112-5923_frame_008002_1_122820.jpg,1280,720,bicycle,488,222,501,246
aug_1112-5918_frame_002334_2_253975.jpg,1280,720,bus,585,191,616,207
aug_1112-5918_frame_002334_2_253975.jpg,1280,720,van,288,233,381,314
aug_1112-5918_frame_001574_1_35225.jpg,1280,720,person,248,261,261,285
aug_1112-5918_frame_001574_1_35225.jpg,1280,720,light_truck,445,206,490,248
aug_1112-5921_frame_005252_1_167569.jpg,1280,720,heavy_truck,661,205,694,219
aug_1112-5921_frame_005252_1_167569.jpg,1280,720,taksi,366,237,415,275
aug_fuatOld-ch01_00000000014000000mp4_snapshot_0456920_25045.jpg,1280,720,minibus,196,150,301,320
aug_fuatOld-ch01_00000000014000000mp4_snapshot_0456920_25045.jpg,1280,720,minibus,332,181,459,340
aug_fuatOld-ch01_00000000014000000mp4_snapshot_0456920_25045.jpg,1280,720,heavy_truck,202,121,268,180
aug_fuatOld-ch01_00000000014000000mp4_snapshot_0456920_25045.jpg,1280,720,person,86,373,125,448
aug_fuatOld-ch01_00000000014000000mp4_snapshot_0456920_25045.jpg,1280,720,person,155,245,185,311
aug_1112-5918_frame_001455_1_158361.jpg,1280,720,heavy_truck,676,205,720,226
aug_1112-5918_frame_001455_1_158361.jpg,1280,720,taksi,454,246,486,281
fuatOld-00055054.jpg,720,480,bus,186,95,416,246
aug_1112-5917_frame_001180_4_208751.jpg,1280,720,van,575,191,599,205
aug_fuatOld-ch01_00000000132000000.mp4_snapshot_46.07.603.jpg,1280,720,heavy_truck,605,70,665,129
aug_fuatOld-00025397.jpg,720,480,motorcycle,125,153,150,181
aug_fuatOld-00100946_62553.jpg,720,480,minibus,227,151,263,186
aug_fuatOld-00100946_62553.jpg,720,480,minibus,55,174,115,226
aug_fuatOld-00100946_62553.jpg,720,480,heavy_truck,252,123,284,167
aug_fuatOld-00100946_62553.jpg,720,480,bus,488,154,798,322
aug_1112-5916_frame_000413_2_248562.jpg,1280,720,bus,279,222,399,316
aug_1112-5916_frame_000413_2_248562.jpg,1280,720,van,462,197,490,223
aug_fuatOld-00038642.jpg,720,480,heavy_truck,146,197,303,300
fuatOld-00096136.jpg,720,480,car,140,122,210,160
aug_1112-5922_frame_006498_2_143160.jpg,1280,720,taksi,222,291,332,348
aug_1112-5925_bilisimFatihframe_000560_37791.jpg,1280,720,taksi,404,86,473,126
aug_1112-5925_bilisimFatihframe_000560_37791.jpg,1280,720,taksi,371,93,419,120
aug_1112-5925_bilisimFatihframe_000560_37791.jpg,1280,720,bus,322,75,348,105
aug_1112-5925_bilisimFatihframe_000560_37791.jpg,1280,720,person,230,296,283,356
aug_1112-5925_bilisimFatihframe_000560_37791.jpg,1280,720,light_truck,30,346,92,421
aug_1112-5925_bilisimFatihframe_000560_37791.jpg,1280,720,person,245,358,301,425
aug_1112-5925_bilisimFatihframe_000560_37791.jpg,1280,720,van,481,54,572,115
aug_1112-5917_frame_001269_2_220041.jpg,1280,720,van,456,220,486,259
aug_1112-5917_frame_001269_2_220041.jpg,1280,720,light_truck,590,195,615,210
aug_fuatOld-00058786.jpg,720,480,bus,322,0,795,313
aug_fuatOld-00014557.jpg,720,480,heavy_truck,0,93,403,528
aug_fuatOld-00037124_59168.jpg,720,480,minibus,695,81,788,201
fuatOld-00064580.jpg,720,480,car,114,43,262,114
fuatOld-00064580.jpg,720,480,car,110,34,185,66
fuatOld-00064580.jpg,720,480,car,1,171,65,257
aug_1112-5923_frame_008142_2_150623.jpg,1280,720,taksi,467,269,531,323
aug_1112-5918_frame_002335_2_247312.jpg,1280,720,bus,584,191,614,206
aug_1112-5918_frame_002335_2_247312.jpg,1280,720,van,285,234,379,316
aug_1112-5922_frame_006555_2.jpg,1280,720,van,321,251,443,350
aug_fuatOld-00072252_72176.jpg,720,480,minibus,83,46,127,77
aug_1112-5925_frame_000066_1_266934.jpg,1280,720,light_truck,126,255,291,381
aug_1112-5920_frame_003187_2_240327.jpg,1280,720,van,453,226,501,285
aug_1112-5926_bilisimFatihframe_007190_33919.jpg,1280,720,person,328,108,340,128
aug_1112-5926_bilisimFatihframe_007190_33919.jpg,1280,720,person,260,226,290,273
aug_1112-5926_bilisimFatihframe_007190_33919.jpg,1280,720,bus,322,75,348,105
aug_1112-5926_bilisimFatihframe_007190_33919.jpg,1280,720,light_truck,31,346,92,423
aug_1112-5926_bilisimFatihframe_007190_33919.jpg,1280,720,person,193,391,246,446
aug_1112-5926_bilisimFatihframe_004080_148240.jpg,1280,720,taksi,583,106,700,162
aug_1112-5926_bilisimFatihframe_004080_148240.jpg,1280,720,bus,322,75,348,105
aug_1112-5926_bilisimFatihframe_004080_148240.jpg,1280,720,light_truck,31,346,92,423
aug_1112-5926_bilisimFatihframe_004080_148240.jpg,1280,720,light_truck,340,92,368,125
aug_1112-5926_bilisimFatihframe_004080_148240.jpg,1280,720,motorcycle,383,90,398,112
aug_1112-5926_bilisimFatihframe_004080_148240.jpg,1280,720,taksi,380,67,398,80
aug_1112-5926_bilisimFatihframe_004080_148240.jpg,1280,720,van,381,105,524,218
